yyyymmdd,hhmmss.sss,lat,lon,depth,Mw,q1,q2,nSta,nPha,ID,sourceType,Swarm,Phase
20210909,002858.000,28.578,-17.7931,13.2,1.2,0,0,0,0, es2021rqsuj,0,,0
20210907,051913.000,28.5789,-17.8573,9.2,1.1,0,0,0,0, es2021rnlir,0,,0
20210902,043155.000,28.6358,-17.8676,14.5,1.3,0,0,0,0, es2021regfj,0,,0
20210828,013024.000,28.5237,-17.8017,25.6,1.1,0,0,0,0, es2021quwqx,0,,0
20210828,012700.000,28.5565,-17.7771,21.6,0.9,0,0,0,0, es2021quwnz,0,,0
20210828,012404.000,28.5439,-17.7987,22.1,1.1,0,0,0,0, es2021quwlm,0,,0
20210827,231618.000,28.5506,-17.8304,24.2,1.2,0,0,0,0, es2021qusfw,0,,0
20210827,231407.000,28.5469,-17.8107,21.0,1.2,0,0,0,0, es2021qusea,0,,0
20210827,223016.000,28.5635,-17.8295,20.7,1.0,0,0,0,0, es2021quqsk,0,,0
20210827,175611.000,28.544,-17.8786,24.1,1.1,0,0,0,0, es2021quhrg,0,,0
20210827,175020.000,28.5791,-17.8576,20.0,1.1,0,0,0,0, es2021quhmf,0,,0
20210827,174520.000,28.5639,-17.8696,22.0,1.2,0,0,0,0, es2021quhhy,0,,0
20210827,174255.000,28.5559,-17.8189,24.2,1.4,0,0,0,0, es2021quhfw,0,,0
20210817,132453.000,28.5456,-17.8187,16.2,1.6,0,0,0,0, es2021qbrpb,0,,0
20210815,111757.000,28.5581,-17.8853,0.2,1.1,0,0,0,0, es2021pxwjm,0,,0
20210812,171103.000,28.5479,-17.952,16.7,1.6,0,0,0,0, es2021psvmj,0,,0
20210730,003551.000,28.5132,-17.8298,31.9,1.8,0,0,0,0, es2021otuzd,0,,0
20210730,002456.000,28.6439,-17.8517,0.0,1.8,0,0,0,0, es2021otupt,0,,0
20210707,235521.000,28.3102,-17.7307,5.0,1.9,0,0,0,0, es2021nfoiu,0,,0
20210627,010354.000,28.5608,-17.8179,30.0,1.4,0,0,0,0, es2021mlnyv,0,10.0,0
20210627,010212.000,28.6031,-17.7708,33.3,1.8,0,0,0,0, es2021mlnxm,0,10.0,0
20210627,005633.000,28.5847,-17.7879,31.4,1.5,0,0,0,0, es2021mlnsn,0,10.0,0
20210627,005516.000,28.5358,-17.8359,32.7,1.3,0,0,0,0, es2021mlnrk,0,10.0,0
20210627,005221.000,28.5712,-17.8077,31.2,1.3,0,0,0,0, es2021mlnox,0,10.0,0
20210627,001348.000,28.5859,-17.8011,32.6,1.2,0,0,0,0, es2021mlmhv,0,10.0,0
20210626,062107.000,28.4875,-17.9264,31.0,1.6,0,0,0,0, es2021mkcxp,0,10.0,0
20210626,061216.000,28.4772,-17.888,20.9,1.4,0,0,0,0, es2021mkcqa,0,10.0,0
20210626,055524.000,28.4951,-17.9055,28.2,1.5,0,0,0,0, es2021mkcbo,0,10.0,0
20210626,055330.000,28.5118,-17.8438,24.9,1.5,0,0,0,0, es2021mkbzx,0,10.0,0
20210626,015032.000,28.5404,-17.8687,37.0,1.5,0,0,0,0, es2021mjtzm,0,10.0,0
20210626,014354.000,28.5942,-17.7902,33.5,1.5,0,0,0,0, es2021mjttu,0,10.0,0
20210626,014246.000,28.5518,-17.8551,35.0,1.4,0,0,0,0, es2021mjtsv,0,10.0,0
20210626,012920.000,28.6273,-17.7512,33.8,1.1,0,0,0,0, es2021mjthh,0,10.0,0
20210626,010611.000,28.5405,-17.8863,31.4,2.0,0,0,0,0, es2021mjsna,0,10.0,0
20210626,005237.000,28.5629,-17.8152,31.9,1.6,0,0,0,0, es2021mjsbu,0,10.0,0
20210626,005100.000,28.5576,-17.8845,29.2,1.2,0,0,0,0, es2021mjsak,0,10.0,0
