yyyymmdd,hhmmss.sss,lat,lon,depth,Mw,q1,q2,nSta,nPha,ID,sourceType,Swarm,Phase
20211130,235028.000,28.572,-17.8372,11.6,2.4,0,0,0,0, es2021xmjcm,0,,2
20211130,234823.000,28.5695,-17.8356,9.3,2.5,0,0,0,0, es2021xmjak,0,,2
20211130,234606.000,28.5692,-17.8376,10.1,2.6,0,0,0,0, es2021xmize,0,,2
20211130,234130.000,28.5653,-17.8317,11.4,2.5,0,0,0,0, es2021xmivg,0,,2
20211130,233948.000,28.5637,-17.8236,10.2,3.0,0,0,0,0, es2021xmitu,0,,2
20211130,233154.000,28.5574,-17.8362,11.7,3.4,0,0,0,0, es2021xmilv,0,,2
20211130,232723.000,28.5725,-17.8406,11.3,2.5,0,0,0,0, es2021xmijc,0,,2
20211130,232409.000,28.5632,-17.8326,11.5,2.5,0,0,0,0, es2021xmigj,0,,2
20211130,232224.000,28.5616,-17.8425,10.7,2.8,0,0,0,0, es2021xmiev,0,,2
20211130,231925.000,28.5642,-17.8481,10.6,2.4,0,0,0,0, es2021xmich,0,,2
20211130,231412.000,28.5696,-17.8238,11.4,3.1,0,0,0,0, es2021xmhxk,0,,2
20211130,230422.000,28.5686,-17.8338,10.8,2.5,0,0,0,0, es2021xmhpj,0,,2
20211130,230310.000,28.5656,-17.8657,10.6,2.4,0,0,0,0, es2021xmhoj,0,,2
20211130,225122.000,28.5702,-17.8312,10.6,3.4,0,0,0,0, es2021xmhef,0,,2
20211130,224731.000,28.5611,-17.8239,10.6,2.5,0,0,0,0, es2021xmhax,0,,2
20211130,224603.000,28.5615,-17.8346,9.2,2.6,0,0,0,0, es2021xmgzq,0,,2
20211130,224447.000,28.5539,-17.8321,13.3,2.7,0,0,0,0, es2021xmgyp,0,,2
20211130,224204.000,28.5728,-17.8248,11.1,3.1,0,0,0,0, es2021xmgwg,0,,2
20211130,224001.000,28.5752,-17.8169,9.8,2.4,0,0,0,0, es2021xmgtv,0,,2
20211130,223755.000,28.5688,-17.8307,10.1,2.7,0,0,0,0, es2021xmgsr,0,,2
20211130,223625.000,28.6054,-17.8199,11.8,2.5,0,0,0,0, es2021xmgrk,0,,2
20211130,223309.000,28.5565,-17.8427,13.9,3.1,0,0,0,0, es2021xmgop,0,,2
20211130,222906.000,28.5618,-17.8524,13.0,3.2,0,0,0,0, es2021xmgli,0,,2
20211130,222820.000,28.5527,-17.8536,13.0,2.5,0,0,0,0, es2021xmgkm,0,,2
20211130,222616.000,28.5613,-17.8408,11.3,3.1,0,0,0,0, es2021xmgir,0,,2
20211130,222129.000,28.5737,-17.8204,10.0,2.3,0,0,0,0, es2021xmgep,0,,2
