Event,Date,Time,Latitude,Longitude,Depth(km),Intensity,Magnitude,Type Mag,Location
es2022ltoex,2022-06-17,04:47:09,28.2383,-16.6696,15.0,,0.4,4,NW VILAFLOR DE CHASNA.ITF
es2022ltnzt,2022-06-17,04:41:10,28.3237,-16.8041,0.0,,1.0,4,NE SANTIAGO DEL TEIDE.ITF
es2022ltnts,2022-06-17,04:34:06,27.9937,-16.1721,3.0,,1.9,4,ATLÁNTICO-CANARIAS
es2022ltnmb,2022-06-17,04:25:11,28.2471,-16.6947,8.0,,1.0,4,NE GUÍA DE ISORA.ITF
es2022ltncb,2022-06-17,04:13:31,28.2534,-16.705,9.0,,0.5,4,NE GUÍA DE ISORA.ITF
es2022ltmtu,2022-06-17,04:03:53,28.2318,-16.6645,15.0,,0.6,4,NW VILAFLOR DE CHASNA.ITF
es2022ltmbg,2022-06-17,03:42:18,28.236,-16.6823,13.0,,0.2,4,NE GUÍA DE ISORA.ITF
es2022ltlux,2022-06-17,03:34:53,28.2502,-16.6731,14.0,,0.2,4,NW VILAFLOR DE CHASNA.ITF
es2022ltlts,2022-06-17,03:33:30,28.2467,-16.6804,12.0,,0.0,4,NE GUÍA DE ISORA.ITF
es2022ltlsh,2022-06-17,03:31:51,28.2471,-16.6584,13.0,,-0.1,4,N VILAFLOR DE CHASNA.ITF
es2022ltlrn,2022-06-17,03:30:56,28.2388,-16.6656,14.0,,0.1,4,NW VILAFLOR DE CHASNA.ITF
es2022ltlqx,2022-06-17,03:30:14,28.2297,-16.6669,15.0,,0.4,4,NW VILAFLOR DE CHASNA.ITF
es2022ltkuv,2022-06-17,03:04:32,28.2485,-16.693,14.0,,1.0,4,NE GUÍA DE ISORA.ITF
es2022ltkqp,2022-06-17,02:59:33,28.2487,-16.6837,11.0,,0.6,4,NE GUÍA DE ISORA.ITF
es2022ltkof,2022-06-17,02:56:48,28.235,-16.6784,15.0,,0.5,4,NW VILAFLOR DE CHASNA.ITF
es2022ltkke,2022-06-17,02:52:05,28.2536,-16.7009,12.0,,0.5,4,NE GUÍA DE ISORA.ITF
es2022ltkfh,2022-06-17,02:46:23,28.2569,-16.6979,12.0,,0.5,4,NE GUÍA DE ISORA.ITF
es2022ltjuy,2022-06-17,02:34:18,28.2558,-16.7008,10.0,,0.5,4,NE GUÍA DE ISORA.ITF
es2022ltjor,2022-06-17,02:27:02,28.2626,-16.7116,11.0,,0.5,4,NE GUÍA DE ISORA.ITF
es2022ltjaj,2022-06-17,02:10:19,28.0794,-16.1893,12.0,,1.8,4,ATLÁNTICO-CANARIAS
es2022lthnu,2022-06-17,01:25:20,28.2517,-16.6807,12.0,,1.1,4,NE GUÍA DE ISORA.ITF
es2022lthke,2022-06-17,01:21:10,28.2465,-16.6914,13.0,,1.5,4,NE GUÍA DE ISORA.ITF
es2022ltgly,2022-06-17,00:52:49,28.2536,-16.6901,14.0,,1.1,4,NE GUÍA DE ISORA.ITF
es2022ltfsj,2022-06-17,00:30:15,28.2369,-16.703,15.0,,1.6,4,NE GUÍA DE ISORA.ITF
es2022ltdjt,2022-06-16,23:19:23,28.0494,-16.254,30.0,,2.1,4,ATLÁNTICO-CANARIAS
es2022ltbvk,2022-06-16,22:32:22,28.086,-16.2766,27.0,,1.9,4,ATLÁNTICO-CANARIAS
es2022lsoyg,2022-06-16,16:01:42,28.2099,-16.4803,20.0,,1.5,4,N ARICO.ITF
es2022lsmnf,2022-06-16,14:48:13,28.0799,-16.5747,18.0,,1.5,4,SE SAN MIGUEL DE ABONA.ITF
es2022lrpba,2022-06-16,02:56:57,28.2194,-16.6389,14.0,,0.6,4,N VILAFLOR DE CHASNA.ITF
es2022lrpak,2022-06-16,02:56:11,28.2414,-16.6821,13.0,,0.8,4,NE GUÍA DE ISORA.ITF
es2022lrnhp,2022-06-16,02:04:00,28.2533,-16.6927,11.0,,0.2,4,NE GUÍA DE ISORA.ITF
es2022lrnhj,2022-06-16,02:03:41,28.2549,-16.6978,13.0,,0.4,4,NE GUÍA DE ISORA.ITF
es2022lrjmd,2022-06-16,00:08:00,28.2439,-16.6941,14.0,,0.8,4,NE GUÍA DE ISORA.ITF
es2022lrggq,2022-06-15,22:30:42,28.2486,-16.684,11.0,,1.4,4,NE GUÍA DE ISORA.ITF
es2022lrcbu,2022-06-15,20:23:51,28.198,-16.073,20.0,,0.7,4,ATLÁNTICO-CANARIAS
es2022lrbyy,2022-06-15,20:20:33,28.1022,-16.1823,9.0,,1.1,4,ATLÁNTICO-CANARIAS
es2022lqbdi,2022-06-15,06:47:20,28.1537,-16.7295,5.0,,0.6,4,N ADEJE.ITF
es2022lppkc,2022-06-15,00:51:33,28.1161,-16.4923,19.0,,1.1,4,S ARICO.ITF
es2022lpkzj,2022-06-14,22:37:47,28.2395,-16.7057,14.0,,0.4,4,NE GUÍA DE ISORA.ITF
es2022lpkol,2022-06-14,22:25:06,28.2318,-16.6824,13.0,,0.6,4,E GUÍA DE ISORA.ITF
es2022logxd,2022-06-14,07:25:59,28.0557,-16.1504,29.0,,0.9,4,ATLÁNTICO-CANARIAS
es2022lnnyg,2022-06-13,21:51:29,28.2422,-16.6897,11.0,,0.2,4,NE GUÍA DE ISORA.ITF
es2022lniai,2022-06-13,18:52:01,27.9732,-16.2509,10.0,,1.5,4,ATLÁNTICO-CANARIAS
es2022llwvj,2022-06-13,00:04:54,28.2541,-16.6822,12.0,,0.7,4,NE GUÍA DE ISORA.ITF
es2022llrlc,2022-06-12,21:21:21,28.1076,-16.2436,10.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022llcob,2022-06-12,13:50:14,28.1589,-16.3223,20.0,,0.4,4,SE FASNIA.ITF
es2022lkmbm,2022-06-12,05:30:39,28.129,-16.3949,25.0,,1.3,4,SE ARICO.ITF
es2022lkkty,2022-06-12,04:51:33,28.2356,-16.6864,12.0,,0.2,4,NE GUÍA DE ISORA.ITF
es2022ljeol,2022-06-11,12:35:19,28.1159,-16.2166,9.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022liotp,2022-06-11,04:36:25,28.168,-16.8081,13.0,,0.1,4,SW GUÍA DE ISORA.ITF
es2022lewjo,2022-06-09,03:55:12,28.2514,-16.5377,8.0,,0.1,4,W FASNIA.ITF
es2022ldnvi,2022-06-08,10:28:07,28.2194,-16.7324,17.0,,1.5,4,E GUÍA DE ISORA.ITF
es2022lbwoa,2022-06-07,12:36:26,28.1335,-16.1011,8.0,,1.9,4,ATLÁNTICO-CANARIAS
es2022lbsal,2022-06-07,10:19:21,28.2869,-16.4685,7.0,,0.4,4,NW FASNIA.ITF
es2022lbfmy,2022-06-07,03:59:55,28.1423,-16.6625,10.0,,0.4,4,SW VILAFLOR DE CHASNA.ITF
